epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1006.89,1.56144,1.07802,1.00106,0.48906,0.43292,0.40572,0.20897,1.73709,1.81203,1.37279,0.0006139,0.0006139,0.0006139
80,1018.75,1.5573,1.08804,0.99839,0.49342,0.43969,0.42955,0.22476,1.74361,1.77815,1.35856,0.00060895,0.00060895,0.00060895
81,1030.55,1.56791,1.06605,0.99753,0.49231,0.46399,0.43802,0.2337,1.73272,1.72268,1.34126,0.000604,0.000604,0.000604
82,1042.17,1.56886,1.05303,0.99285,0.53075,0.3949,0.42553,0.23044,1.71411,1.7436,1.35544,0.00059905,0.00059905,0.00059905
83,1054.44,1.56191,1.04939,0.9942,0.53805,0.43006,0.44113,0.23555,1.72899,1.68448,1.33483,0.0005941,0.0005941,0.0005941
84,1066.12,1.54028,1.04584,0.99075,0.51405,0.42034,0.42104,0.23276,1.69214,1.74087,1.33172,0.00058915,0.00058915,0.00058915
85,1078.15,1.54573,1.03817,0.98752,0.52633,0.43497,0.44683,0.23685,1.71868,1.6894,1.34051,0.0005842,0.0005842,0.0005842
86,1089.67,1.52858,1.04364,0.99494,0.48269,0.44542,0.42753,0.22344,1.77725,1.72997,1.39825,0.00057925,0.00057925,0.00057925
87,1101.36,1.49972,1.01269,0.97869,0.55893,0.37669,0.42399,0.22572,1.72997,1.75102,1.34168,0.0005743,0.0005743,0.0005743
88,1113.61,1.53933,1.04555,0.994,0.52203,0.44993,0.43133,0.23139,1.69873,1.71827,1.30908,0.00056935,0.00056935,0.00056935
89,1125.84,1.54227,1.04894,0.99734,0.51964,0.42913,0.42683,0.22566,1.72157,1.7379,1.34014,0.0005644,0.0005644,0.0005644
90,1138.14,1.5411,1.0385,0.98644,0.58679,0.42192,0.43828,0.22885,1.70825,1.66692,1.32868,0.00055945,0.00055945,0.00055945
91,1150.79,1.5341,1.00983,0.97377,0.53156,0.45643,0.45541,0.23079,1.7138,1.65035,1.33869,0.0005545,0.0005545,0.0005545
92,1163.26,1.54576,1.03708,0.98733,0.51729,0.4392,0.42859,0.22403,1.70303,1.69939,1.35538,0.00054955,0.00054955,0.00054955
93,1175.36,1.5306,1.02202,0.97857,0.48492,0.47145,0.44047,0.23357,1.72088,1.73485,1.35144,0.0005446,0.0005446,0.0005446
94,1187.59,1.53888,1.01068,0.98314,0.50121,0.46517,0.44091,0.23147,1.74442,1.68286,1.35709,0.00053965,0.00053965,0.00053965
95,1199.56,1.50674,0.99533,0.98493,0.52941,0.45531,0.43967,0.2391,1.72457,1.70617,1.35924,0.0005347,0.0005347,0.0005347
96,1211.79,1.51504,1.00079,0.98258,0.52071,0.41322,0.42956,0.23654,1.70656,1.73912,1.34924,0.00052975,0.00052975,0.00052975
97,1224.27,1.50056,0.99542,0.98227,0.55864,0.44787,0.46243,0.24645,1.70779,1.69114,1.33952,0.0005248,0.0005248,0.0005248
98,1236.33,1.50134,1.00172,0.98682,0.55121,0.41378,0.42283,0.2338,1.72565,1.71791,1.34873,0.00051985,0.00051985,0.00051985
99,1248.65,1.50418,0.99033,0.97699,0.55127,0.4427,0.42553,0.23362,1.74815,1.69251,1.3982,0.0005149,0.0005149,0.0005149
100,1260.85,1.51503,1.01366,0.98045,0.56686,0.42913,0.45182,0.24317,1.69814,1.63902,1.33777,0.00050995,0.00050995,0.00050995
101,1273.01,1.51569,0.99718,0.98319,0.5098,0.46096,0.45072,0.23396,1.69818,1.63159,1.3463,0.000505,0.000505,0.000505
102,1285,1.50775,0.98276,0.9776,0.49518,0.48945,0.44931,0.2436,1.72468,1.63094,1.3678,0.00050005,0.00050005,0.00050005
103,1296.62,1.50704,0.98622,0.97002,0.49366,0.46321,0.44841,0.23552,1.77403,1.71359,1.39629,0.0004951,0.0004951,0.0004951
104,1308.47,1.48937,0.9721,0.97412,0.52007,0.41623,0.41587,0.21991,1.7396,1.77754,1.36671,0.00049015,0.00049015,0.00049015
105,1320.88,1.50655,0.99429,0.97797,0.5532,0.47238,0.44424,0.23874,1.74822,1.68726,1.37425,0.0004852,0.0004852,0.0004852
106,1332.81,1.47735,0.96931,0.97107,0.583,0.41823,0.44405,0.23308,1.73075,1.7264,1.36855,0.00048025,0.00048025,0.00048025
107,1347.55,1.49283,0.9662,0.97208,0.5069,0.45558,0.44093,0.24078,1.71129,1.7259,1.36966,0.0004753,0.0004753,0.0004753
108,1374.79,1.45998,0.95471,0.9673,0.51779,0.40429,0.42753,0.23669,1.68417,1.66867,1.34524,0.00047035,0.00047035,0.00047035
109,1387.14,1.50839,0.98691,0.97344,0.59105,0.43398,0.45212,0.24313,1.67919,1.61996,1.32211,0.0004654,0.0004654,0.0004654
110,1399.6,1.48952,0.96344,0.96189,0.57518,0.40711,0.45266,0.25236,1.67812,1.64686,1.34567,0.00046045,0.00046045,0.00046045
111,1411.81,1.46927,0.94837,0.96255,0.51741,0.46859,0.45094,0.24518,1.70527,1.63829,1.37388,0.0004555,0.0004555,0.0004555
112,1424.22,1.46411,0.95108,0.97084,0.58682,0.43065,0.45663,0.23884,1.70645,1.67489,1.34195,0.00045055,0.00045055,0.00045055
113,1436.47,1.47003,0.95823,0.97469,0.52628,0.44025,0.44505,0.24672,1.70397,1.64109,1.35308,0.0004456,0.0004456,0.0004456
114,1459.71,1.44395,0.94723,0.96168,0.49623,0.47454,0.44659,0.23751,1.69361,1.64792,1.33838,0.00044065,0.00044065,0.00044065
115,1487.68,1.46839,0.96005,0.96919,0.5226,0.4375,0.44351,0.23643,1.67907,1.64253,1.33079,0.0004357,0.0004357,0.0004357
116,1514.73,1.48339,0.94517,0.96685,0.51173,0.48148,0.45338,0.24166,1.69527,1.66967,1.34959,0.00043075,0.00043075,0.00043075
117,1541.83,1.47817,0.95871,0.97349,0.57517,0.44883,0.47121,0.25771,1.65389,1.57481,1.30811,0.0004258,0.0004258,0.0004258
118,1569.22,1.46131,0.9423,0.96659,0.55978,0.44639,0.45679,0.23408,1.74179,1.69983,1.36001,0.00042085,0.00042085,0.00042085
119,1596.31,1.46697,0.9445,0.96262,0.57796,0.43196,0.45678,0.24186,1.69308,1.6832,1.33768,0.0004159,0.0004159,0.0004159
120,1620.61,1.44489,0.92354,0.96324,0.54582,0.43809,0.45317,0.23688,1.68212,1.62657,1.34565,0.00041095,0.00041095,0.00041095
121,1632.89,1.43906,0.92805,0.95765,0.55064,0.45793,0.44601,0.23698,1.69033,1.60361,1.33415,0.000406,0.000406,0.000406
122,1645.39,1.45753,0.92959,0.96474,0.4997,0.48233,0.46209,0.23754,1.72224,1.63313,1.36019,0.00040105,0.00040105,0.00040105
123,1657.61,1.43995,0.90484,0.95652,0.52272,0.45264,0.4423,0.23153,1.71597,1.66702,1.37216,0.0003961,0.0003961,0.0003961
124,1669.88,1.42096,0.90993,0.95398,0.54563,0.44996,0.44619,0.24248,1.68645,1.64488,1.32599,0.00039115,0.00039115,0.00039115
125,1682.04,1.43033,0.9076,0.95974,0.52259,0.45113,0.44171,0.23192,1.70247,1.71378,1.35836,0.0003862,0.0003862,0.0003862
126,1694.22,1.4274,0.91575,0.96034,0.56628,0.43964,0.45724,0.2499,1.66037,1.69774,1.3182,0.00038125,0.00038125,0.00038125
127,1706.78,1.4231,0.91984,0.95189,0.5846,0.43306,0.4585,0.23283,1.68932,1.68765,1.34306,0.0003763,0.0003763,0.0003763
128,1719.11,1.41722,0.90277,0.95344,0.56402,0.44341,0.44214,0.23951,1.69627,1.67644,1.3568,0.00037135,0.00037135,0.00037135
129,1731.15,1.43361,0.92022,0.95928,0.5705,0.45839,0.47102,0.26374,1.67453,1.65168,1.33552,0.0003664,0.0003664,0.0003664
130,1743.49,1.43138,0.90705,0.9569,0.60486,0.43339,0.46054,0.24575,1.71881,1.68471,1.36812,0.00036145,0.00036145,0.00036145
131,1755.54,1.42172,0.8964,0.95119,0.60751,0.45658,0.47517,0.24848,1.72739,1.66911,1.35256,0.0003565,0.0003565,0.0003565
132,1767.7,1.42506,0.89439,0.95041,0.57556,0.45157,0.48378,0.24836,1.73362,1.66408,1.35228,0.00035155,0.00035155,0.00035155
133,1779.95,1.42043,0.90364,0.9587,0.65177,0.43176,0.46549,0.24679,1.71501,1.73233,1.34656,0.0003466,0.0003466,0.0003466
134,1791.92,1.41809,0.89655,0.95048,0.56079,0.47676,0.47355,0.25077,1.68211,1.69265,1.33204,0.00034165,0.00034165,0.00034165
135,1804.46,1.41906,0.90075,0.95485,0.53458,0.47052,0.465,0.24995,1.69485,1.65766,1.34596,0.0003367,0.0003367,0.0003367
136,1816.82,1.40628,0.88281,0.95117,0.64587,0.42934,0.47455,0.25551,1.67061,1.61338,1.31198,0.00033175,0.00033175,0.00033175
137,1829.25,1.40976,0.88055,0.94688,0.56952,0.45779,0.46831,0.25147,1.68169,1.68695,1.32406,0.0003268,0.0003268,0.0003268
138,1842.21,1.40668,0.879,0.9447,0.58411,0.46586,0.46451,0.25683,1.68489,1.62842,1.32658,0.00032185,0.00032185,0.00032185
139,1854.53,1.41035,0.89127,0.95611,0.60395,0.44625,0.4669,0.25298,1.72119,1.66348,1.37041,0.0003169,0.0003169,0.0003169
140,1867.08,1.37901,0.873,0.94549,0.56258,0.46564,0.46339,0.2486,1.68186,1.67972,1.33734,0.00031195,0.00031195,0.00031195
141,1879.62,1.39846,0.87428,0.9444,0.62638,0.42683,0.46776,0.25601,1.64787,1.62085,1.30063,0.000307,0.000307,0.000307
142,1891.81,1.38103,0.86997,0.94308,0.57291,0.46156,0.46243,0.25165,1.68304,1.66917,1.3288,0.00030205,0.00030205,0.00030205
